id,name
북한01-01,비봉탐방지원센터 상단 600m
북한01-02,비봉탐방지원센터 상단 1200m
북한01-03,사모바위 200m 전
북한01-04,승가봉
북한01-05,문수봉 방향 500m
북한01-06,청수동암문 하단 150m
북한01-07,문수봉
북한02-01,승가공원지킴터 상단 500m
북한02-02,승가공원지킴터 상단 1100m
북한02-03,승가사쉼터 상단 400m
북한03-01,구기탐방지원센터 상단 500m
북한03-02,구기삼거리 상단 200m
북한03-03,구기삼거리 상단 700m
북한03-04,문수사 갈림길 하단 100m
북한03-05,대남문
북한03-06,대성문 200m 전
북한04-01,평창공원지킴터 상단 300m
북한05-01,구복암 상단 100m
북한05-02,형제봉 하단 200m
북한06-01,북악공원지킴터 상단 300m
북한06-02,영불사
북한07-01,신성천
북한07-02,형제봉 하단 300m
북한07-03,형제봉 상단 300m
북한07-04,일선사삼거리 하단 200m
북한08-01,청수천 상단 100m
북한08-02,삼봉사
북한08-03,영추사
북한08-04,일선사삼거리 
북한08-05,대성문
북한08-06,대성문-보국문 중간
북한09-01,정릉탐방지원센터 상단 500m
북한09-02,넓적바위
북한09-03,넓적바위 상단 500m
북한09-04,보국문
북한10-01,내원사 하단 50m
북한11-01,넓적바위 상단 300m
북한12-01,빨래골공원지킴터 상단 400m
북한12-02,칼바위공원지킴터 상단100m
북한12-03,삼성암삼거리
북한12-04,삼성암삼거리 상단 400m
북한12-05,삼성암삼거리 상단 800m
북한12-06,칼바위
북한12-07,대동문 하단 200m
북한13-01,화계사
북한13-02,화계사 상단 200m
북한14-01,조병옥박사묘 상단 100m
북한15-01,아카데미탐방지원센터 상단 500m
북한15-02,구천폭포 상단 150m
북한15-03,구천폭포 상단 450m
북한16-01,운가사 하단 200m
북한16-02,운가사 상단 200m
북한16-03,진달래능선 50m 전
북한17-01,백련공원지킴터 상단 100m
북한17-02,백련사 상단 300m
북한17-03,진달래공원지킴터 상단 700m 
북한17-04,대동문 하단 800m
북한17-05,대동문 하단 300m
북한18-01,진달래공원지킴터 상단 100m
북한19-01,소귀천공원지킴터 상단 200m
북한19-02,소귀천공원지킴터 상단 800m
북한19-03,대동문 하단 500m
북한19-04,대동문 하단 100m
북한20-01,용암문공원지킴터 상단 200m
북한20-02,용암문 하단 300m
북한21-01,백운대탐방지원센터 400m
북한21-02,인수대피소
북한21-03,백운대피소
북한21-04,백운대
북한22-01,노적봉삼거리
북한22-02,용암문 100m 전
북한22-03,북한산대피소
북한22-04,동장대 하단 100m
북한22-05,대동문 하단 100m
북한23-1,송전탑
북한23-2,송전탑 상단 500m
북한23-3,원통사 삼거리
북한46-01,밤골공원지킴터 상단 500m
북한46-02,밤골공원지킴터 상단 1000m
북한46-03,밤골공원지킴터 상단 1500m
북한46-04,밤골공원지킴터 상단 2000m
북한46-05,호랑이굴하단
북한47-01,청담골 상단 300m
북한47-02,청담골 상단 800m
북한47-03,북문
북한48-01,시구문공원지킴터
북한48-02,원효암
북한48-03,원효봉
북한49-01,북한산성탐방지원센터 상단 400m
북한49-02,서문안
북한50-01,등운각 상단 500m
북한50-02,대동사 상단 200m
북한50-03,위문 하단 100m
북한51-01,등운각 상단 400m
북한51-02,용학사 하단 100m
북한51-03,태고사 우측
북한51-04,행궁지 삼거리
북한51-05,보국문 하단 400m
북한51-06,대성암 삼거리
북한52-01,국녕사
북한53-01,부왕사지  500m
북한53-02,부왕사지  1.4km
북한54-01,중흥사지 상단 300m
북한55-01,행궁지 상단 400m
북한55-02,청수동암문 하단 300m
북한56-01,용암사입구
북한56-02,용암사입구 상단 400m
북한56-03,가사당암문
북한56-04,용출봉
북한56-05,용혈봉
북한56-06,부왕동 암문
북한56-07,나한봉
북한57-01,백화사공원지킴터 상단 400m
북한57-02,백화사공원지킴터 상단 1000m
북한57-03,가사당암문 하단 100m
북한58-01,삼천사 하단 200m
북한58-02,삼천사 상단 200m
북한58-03,삼천사 상단 700m
북한58-04,문수봉 하단 1400m
북한58-05,문수봉 하단 1000m
북한58-06,문수봉 하단 600m
북한59-01,응봉
북한59-02,응봉에서 응봉능선 1100m
북한59-03,응봉에서 응봉능선 1600m
북한60-01,사모바위 하단 900m
북한60-02,사모바위 하단 500m
북한60-03,사모바위 하단 100m
북한61-01,진관사 상단 300m
북한61-02,진관사 상단 1000m
북한61-03,비봉 하단 500m
북한61-04,비봉 하단 200m (비봉사거리)
북한62-01,진관공원지킴터 상단 1000m
