일시,국가지점번호,다목적위치표지판번호,GNSS-경도,GNSS-위도,온도,습도
2025-01-01 06:01:00,다사51405985,북한61-01,126.9492,37.6369,-3.2,62.0
2025-01-01 06:01:00,다사51396051,북한58-01,126.9490999,37.6428,-2.9,63.0
2025-01-01 06:01:00,다사51335773,북한66-02,126.9486,37.6178,-3.5,63.0
2025-01-01 06:01:00,다사51335740,북한66-01,126.9486,37.6148,-2.8,61.0
2025-01-01 06:01:00,다사51286158,둘레길110-01 ,126.9477611,37.6524418,-2.5,62.0
2025-01-01 06:01:00,다사51285821,북한66-03,126.948,37.6221,-4.5,63.0
2025-01-01 06:01:00,다사51155891,북한62-04,126.9464,37.6284,-4.4,62.0
2025-01-01 06:01:00,다사51155877,북한62-03,126.9465,37.6271,-4.9,61.0
2025-01-01 06:01:00,다사51135948,북한62-01,126.9462,37.6335,-3.3,65.0
2025-01-01 06:01:00,다사50985837,북한64-02,126.9446,37.6235,-3.9,62.0
2025-01-01 06:01:00,다사50985795,북한65-03,126.9446,37.6197,-4.5,63.0
2025-01-01 06:01:00,다사50975857,북한63-02,126.9444,37.6253,-4.3,63.0
2025-01-01 06:01:00,다사50905778,족두리봉,126.943704,37.6182159,-4.3,62.0
2025-01-01 06:01:00,다사50775880,북한63-01,126.9422,37.6274,-3.7,61.0
2025-01-01 06:01:00,다사50765775,북한65-02,126.9421,37.6179,-4.5,62.0
2025-01-01 06:01:00,다사50595826,북한64-01,126.9402,37.6225,-3.3,63.0
2025-01-01 06:01:00,다사50515797,북한65-01,126.9393,37.6199,-3.7,63.0
2025-01-01 06:01:00,다사50475974,둘레길108-03,126.9386623,37.635817,-2.8,61.0
2025-01-01 06:01:00,다사50315730,둘레길108-01,126.9369876,37.6138226,-2.8,62.0
2025-01-01 06:02:00,다사52255897,북한59-03,126.9589,37.629,-6.0,65.0
2025-01-01 06:02:00,다사52255785,북한02-01,126.959,37.6189,-4.1,62.0
2025-01-01 06:02:00,다사52245981,북한60-01,126.9587,37.6366,-4.2,63.0
2025-01-01 06:02:00,다사52215870,북한02-03,126.9585,37.6266,-5.6,63.0
2025-01-01 06:02:00,다사52206004,북한58-02,126.9583,37.6386,-3.8,62.0
2025-01-01 06:02:00,다사52165942,북한59-02,126.9579,37.633,-5.4,61.0
2025-01-01 06:02:00,다사52145872,북한01-03,126.9577,37.6267,-5.9,62.0
2025-01-01 06:02:00,다사52136096,북한57-02,126.9574,37.6469,-4.1,63.0
2025-01-01 06:02:00,다사51875851,북한01-02,126.9546,37.6248,-5.3,63.0
