grid,fcstDateTime,PCP,POP,PTY,REH,SKY,SNO,TMN,TMP,TMX,UUU,VEC,VVV,WAV,WSD
59_127,2026-08-25 21:00:00,강수없음,0,0,90,1,적설없음,,26,,1.3,270,0.0,0,1.3
59_127,2026-08-25 22:00:00,강수없음,20,0,95,3,적설없음,,26,,0.8,276,0.0,0,0.9
59_127,2026-08-25 23:00:00,강수없음,20,0,95,3,적설없음,,26,,0.9,276,-0.1,0,1.0
59_127,2026-08-26 00:00:00,강수없음,30,0,95,4,적설없음,,25,,0.6,278,0.0,0,0.7
59_127,2026-08-26 01:00:00,강수없음,30,0,95,4,적설없음,,25,,0.6,278,0.0,0,0.7
59_127,2026-08-26 02:00:00,강수없음,30,0,95,4,적설없음,,25,,0.6,270,0.0,0,0.6
59_127,2026-08-26 03:00:00,강수없음,30,0,95,4,적설없음,,25,,0.7,270,0.0,0,0.7
59_127,2026-08-26 04:00:00,강수없음,30,0,95,4,적설없음,,25,,0.6,270,0.0,0,0.6
59_127,2026-08-26 05:00:00,강수없음,30,0,95,4,적설없음,,25,,0.4,270,0.0,0,0.4
59_127,2026-08-26 06:00:00,강수없음,30,0,95,4,적설없음,,25,,0.2,225,0.2,0,0.4
59_127,2026-08-26 07:00:00,강수없음,30,0,100,4,적설없음,,25,,0.4,231,0.3,0,0.6
59_127,2026-08-26 08:00:00,강수없음,30,0,95,4,적설없음,,26,,0.7,270,0.0,0,0.7
59_127,2026-08-26 09:00:00,강수없음,30,0,90,4,적설없음,,27,,1.2,270,0.0,0,1.2
59_127,2026-08-26 10:00:00,강수없음,30,0,85,4,적설없음,,28,,1.2,253,0.3,0,1.3
59_127,2026-08-26 11:00:00,강수없음,30,0,80,4,적설없음,,29,,1.9,264,0.2,0,2.0
59_127,2026-08-26 12:00:00,강수없음,30,0,75,4,적설없음,,29,,2.2,265,0.2,0,2.3
59_127,2026-08-26 13:00:00,강수없음,30,0,75,4,적설없음,,30,,2.4,270,0,0,2.4
59_127,2026-08-26 14:00:00,강수없음,30,0,75,4,적설없음,,30,,2.7,270,0,0,2.7
59_127,2026-08-26 15:00:00,강수없음,30,0,75,4,적설없음,,31,32.0,2.4,270,0,0,2.4
59_127,2026-08-26 16:00:00,강수없음,30,0,75,4,적설없음,,30,,2.2,270,0,0,2.2
59_127,2026-08-26 17:00:00,강수없음,30,0,75,4,적설없음,,29,,1.8,279,-0.2,0,1.9
