grid,fcstDateTime,LGT,POP,PTY,REH,RN1,SKY,T1H,UUU,VEC,VVV,WSD
59_127,2026-09-18 22:00:00,0.0,0.0,0.0,60.0,강수없음,1.0,23.0,-0.4,112.0,0.2,1.0
59_127,2026-09-18 23:00:00,0,0,0,50,강수없음,1,22,-0.8,128,0.7,1
59_127,2026-09-19 00:00:00,0,0,0,60,강수없음,1,22,-0.4,144,0.7,1
59_127,2026-09-19 01:00:00,0,0,0,65,강수없음,1,20,-0.8,103,0.2,1
59_127,2026-09-19 02:00:00,0,20,0,70,강수없음,4,20,-1.3,74,-0.3,1
59_127,2026-09-19 03:00:00,0,20,0,75,강수없음,3,19,-1.6,65,-0.7,2
59_127,2026-09-19 04:00:00,0,20,0,80,강수없음,3,19,-1.6,62,-0.8,2
59_128,2026-09-18 22:00:00,0.0,0.0,0.0,55.0,강수없음,1.0,23.0,-1.6,100.0,0.3,2.0
59_128,2026-09-18 23:00:00,0,0,0,55,강수없음,1,22,-1.7,87,0,2
59_128,2026-09-19 00:00:00,0,0,0,55,강수없음,1,22,-1.2,90,0,1
59_128,2026-09-19 01:00:00,0,20,0,65,강수없음,1,20,-1.1,85,0,1
59_128,2026-09-19 02:00:00,0,30,0,75,강수없음,4,19,-1.2,69,-0.4,1
59_128,2026-09-19 03:00:00,0,20,0,75,강수없음,3,18,-1.2,52,-0.9,2
59_128,2026-09-19 04:00:00,0,20,0,80,강수없음,3,18,-1.3,54,-0.9,2
59_129,2026-09-18 22:00:00,0.0,0.0,0.0,55.0,강수없음,1.0,23.0,-2.0,106.0,0.6,2.0
59_129,2026-09-18 23:00:00,0,0,0,55,강수없음,1,22,-2.1,80,-0.3,2
59_129,2026-09-19 00:00:00,0,0,0,55,강수없음,1,22,-1.5,86,0,2
59_129,2026-09-19 01:00:00,0,0,0,70,강수없음,1,21,-1.2,77,-0.2,1
59_129,2026-09-19 02:00:00,0,30,0,75,강수없음,4,19,-1.1,63,-0.5,1
